hour,avg_queue_length_rl,avg_queue_length_baseline,avg_queue_length_diff,avg_queue_length_improvement_pct,avg_vehicle_delay_rl,avg_vehicle_delay_baseline,avg_vehicle_delay_diff,avg_vehicle_delay_improvement_pct,total_throughput_rl,total_throughput_baseline,total_throughput_diff,total_throughput_improvement_pct,queue_imbalance_rl,queue_imbalance_baseline,queue_imbalance_diff,queue_imbalance_improvement_pct
0,1.0787777777777776,75.00733333333334,-73.92855555555556,98.56177025653788,8.595291744699681,1079.763245254406,-1071.1679535097064,99.20396514861233,450.8,260.2,190.60000000000002,73.25134511913913,0.4464101615137754,25.0,-24.553589838486225,98.2143593539449
1,31.155944444444447,65.82422222222223,-34.66827777777779,52.66796417394476,842.9340895841009,1576.8618444652463,-733.9277548811455,46.54356736813801,241.6,156.0,85.6,54.87179487179487,10.259807621135332,25.0,-14.740192378864668,58.96076951545868
2,0.1143333333333333,16.851277777777774,-16.73694444444444,99.32151534832505,8.196724581786473,2525.076856571714,-2516.8801319899276,99.6753871249323,50.0,23.8,26.2,110.08403361344537,0.0,8.083327774973075,-8.083327774973075,100.0
3,3.815555555555555,7.973999999999999,-4.158444444444444,52.15004319594237,1401.0478726708077,1934.4018811851763,-533.3540085143686,27.572037315616722,21.4,15.6,5.799999999999999,37.179487179487175,1.5888775341245562,3.643345691232213,-2.0544681571076566,56.38960261310852
4,7.457888888888888,22.53922222222222,-15.081333333333333,66.91150734768527,536.9650590592744,1922.9445822934852,-1385.9795232342108,72.07589527001142,69.8,43.2,26.599999999999994,61.57407407407406,3.2028476021842835,10.725972212680054,-7.5231246104957705,70.13932594009582
5,58.47683333333333,71.83616666666667,-13.359333333333339,18.596946292141617,1111.893515173136,1318.5586700763563,-206.66515490322035,15.673565355362806,236.8,203.0,33.80000000000001,16.650246305418726,20.0,25.0,-5.0,20.0
6,53.96905555555556,89.04905555555555,-35.07999999999999,39.39401690578788,409.2306544765223,753.2408320374589,-344.01017756093654,45.67067568952884,661.4,442.8,218.59999999999997,49.36766034327009,15.086602540378443,24.950505024742423,-9.86390248436398,39.533879072116335
7,89.2058888888889,93.63388888888888,-4.427999999999983,4.729057024700204,326.9253255882567,294.086281708499,32.83904387975775,-11.16646573549055,989.2,1147.0,-157.79999999999995,-13.75762859633827,24.902040391510457,25.0,-0.09795960848954266,0.3918384339581706
8,95.12016666666668,96.7082222222222,-1.5880555555555276,1.6421101733277592,282.04026526284485,229.0040534797892,53.03621178305565,-23.159507867722688,1219.2,1576.2,-357.0,-22.649409973353634,24.950505024742423,24.851515074227272,0.09898995051515058,-0.3983256160418564
9,97.53438888888893,97.91455555555557,-0.38016666666663923,0.3882636902242151,214.6288398601592,184.7593866132564,29.869453246902793,-16.166676992398976,1682.2,1971.8,-289.5999999999999,-14.687087939953338,25.0,24.950505024742423,0.04949497525757707,-0.19837263898464128
10,98.08711111111111,98.10455555555556,-0.01744444444445037,0.01778148256792394,176.27626982501224,165.97499895501903,10.301270869993203,-6.206519617321978,2072.8,2189.4,-116.59999999999991,-5.325659998173011,24.80305044099531,24.950505024742423,-0.14745458374711262,0.5909883731847823
11,97.16094444444444,97.46866666666666,-0.3077222222222247,0.3157139958368413,223.2085497594861,226.40602373850535,-3.1974739790192643,1.4122742523459915,1620.8,1624.2,-3.400000000000091,-0.20933382588351748,24.950505024742423,25.0,-0.04949497525757707,0.19797990103030827
12,88.7125,96.75183333333334,-8.039333333333332,8.309231005097232,266.91719687441457,287.17534776283844,-20.25815088842387,7.0542792221684385,1236.0,1261.4,-25.40000000000009,-2.0136356429364266,24.950505024742423,24.950505024742423,0.0,0.0
13,75.7201111111111,95.80244444444445,-20.082333333333352,20.96223478408115,299.4709379664406,390.5473792106432,-91.07644124420261,23.320202897861513,1142.8,901.4,241.39999999999998,26.780563567783446,20.195453999020742,25.0,-4.804546000979258,19.21818400391703
14,31.31833333333333,95.81255555555556,-64.49422222222223,67.31291306057082,99.71387017799012,456.3273327125245,-356.6134625345344,78.14860889763807,1553.0,757.0,796.0,105.15191545574636,10.906959948338343,25.0,-14.093040051661657,56.372160206646626
15,86.95077777777777,95.8125,-8.861722222222227,9.249025150395019,275.17374875461184,297.36289655693474,-22.189147802322907,7.461975942272425,1187.4,1212.2,-24.799999999999955,-2.045867018643784,25.0,25.0,0.0,0.0
16,96.22305555555556,97.74677777777778,-1.5237222222222186,1.55884649792377,208.8932706147897,221.78235870470857,-12.889088089918857,5.811593025340665,1704.6,1636.4,68.19999999999982,4.1676851625519316,25.0,24.902040391510457,0.09795960848954266,-0.3933798473916973
17,99.03277777777778,99.08066666666666,-0.047888888888877545,0.04833323240545839,159.8469711261419,166.63283758835263,-6.78586646221072,4.072346459690272,2319.2,2198.2,121.0,5.504503684833046,24.950505024742423,24.706152032847356,0.24435299189506665,-0.9890370283895046
18,122.12388888888889,108.03188888888889,14.091999999999999,-13.044296591438535,111.78285394743293,124.3313334449152,-12.548479497482276,10.092773197065291,3930.6,3194.6,736.0,23.038878106805235,21.583273456361844,23.256345191092105,-1.6730717347302608,7.194044124229368
19,116.68994444444442,131.37994444444445,-14.690000000000026,11.18131086302283,122.49297000737349,121.81760057036058,0.675369437012904,-0.5544103921360835,3427.0,3885.8,-458.8000000000002,-11.807092490606829,23.05632053611036,21.543293713358743,1.5130268227516162,-7.023191731417587
20,106.11544444444444,119.97794444444445,-13.862500000000011,11.554206953778086,126.41569669623182,121.7507124634914,4.664984232740423,-3.8315868041751964,3044.8,3576.4,-531.5999999999999,-14.864109160049207,23.944521044102217,22.37696962447556,1.567551419626657,-7.0051997474765075
21,100.58794444444445,99.88144444444444,0.7065000000000055,-0.7073385891940833,126.95666548627256,150.92303779223568,-23.96637230596312,15.879863443350386,2958.2,2444.6,513.5999999999999,21.009572118137935,23.961574163469443,24.852545416252884,-0.8909712527834408,3.585030176429212
22,98.23638888888888,98.3941111111111,-0.157722222222219,0.1602964043692736,196.625773915268,170.99671801976757,25.629055895500443,-14.988039649122195,1846.2,2154.8,-308.60000000000014,-14.321514757750146,24.950505024742423,24.9,0.050505024742424354,-0.20283142466837092
23,97.98133333333332,97.93544444444444,0.04588888888888221,-0.046856262458596865,217.3182436940596,183.68998328347848,33.628260410581106,-18.3070735864157,1671.4,1991.0,-319.5999999999999,-16.052235057759916,24.852545416252884,25.0,-0.14745458374711617,0.5898183349884647
